Eng,Kor
TIE 요격기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 요격기 스쿼드론.webp
TIE 팬텀 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (제국)/TIE 팬텀 스쿼드론.webp
VT-49 데시메이터,/resources/스쿼드론 카드/스쿼드론 (제국)/VT-49 데시메이터.webp
YV-666,/resources/스쿼드론 카드/스쿼드론 (제국)/YV-666.webp
,
Black Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/흑색 비행대.webp
Boba Fett,/resources/스쿼드론 카드/스쿼드론 (제국)/보바 펫.webp
Bossk,/resources/스쿼드론 카드/스쿼드론 (제국)/보스크.webp
Captain Jonus,/resources/스쿼드론 카드/스쿼드론 (제국)/조너스 대위.webp
Ciena Ree,/resources/스쿼드론 카드/스쿼드론 (제국)/사이에나 리.webp
Colonel Jendon,/resources/스쿼드론 카드/스쿼드론 (제국)/젠돈 대령.webp
Darth Vader (TIE Advanced),/resources/스쿼드론 카드/스쿼드론 (제국)/다스 베이더 (TIE 어드밴스드 스쿼드론).webp
Darth Vader (TIE Defender),/resources/스쿼드론 카드/스쿼드론 (제국)/다스 베이더 (TIE 디펜더 스쿼드론).webp
Dengar,/resources/스쿼드론 카드/스쿼드론 (제국)/덴가.webp
Gamma Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/감마 비행대.webp
Gar Saxon,/resources/스쿼드론 카드/스쿼드론 (제국)/갈 색슨.webp
Hondo Ohnaka,/resources/스쿼드론 카드/스쿼드론 (제국)/혼도 오나카.webp
Howlrunner,/resources/스쿼드론 카드/스쿼드론 (제국)/″하울러너″.webp
IG-88,/resources/스쿼드론 카드/스쿼드론 (제국)/IG-88.webp
IG-88B,/resources/스쿼드론 카드/스쿼드론 (제국)/IG-88B.webp
Maarek Stele,/resources/스쿼드론 카드/스쿼드론 (제국)/마렉 스틸.webp
Major Rhymer,/resources/스쿼드론 카드/스쿼드론 (제국)/라이머 소령.webp
Mauler Mithel,/resources/스쿼드론 카드/스쿼드론 (제국)/″모울러″ 미텔.webp
Moralo Eval,/resources/스쿼드론 카드/스쿼드론 (제국)/모랄로 이발.webp
Morna Kee,/resources/스쿼드론 카드/스쿼드론 (제국)/모나 키.webp
Saber Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/세이버 비행대.webp
Soontir Fel,/resources/스쿼드론 카드/스쿼드론 (제국)/순티르 펠.webp
Tel Trevura,/resources/스쿼드론 카드/스쿼드론 (제국)/텔 트레부라.webp
Tempest Squadron,/resources/스쿼드론 카드/스쿼드론 (제국)/템페스트 비행대.webp
Valen Rudor,/resources/스쿼드론 카드/스쿼드론 (제국)/발렌 루도.webp
Vult Skerris,/resources/스쿼드론 카드/스쿼드론 (제국)/벌트 스케리스.webp
Whisper,/resources/스쿼드론 카드/스쿼드론 (제국)/″위스퍼″.webp
Zertik Strom,/resources/스쿼드론 카드/스쿼드론 (제국)/제르틱 스트롬.webp
흑색 비행대,/resources/스쿼드론 카드/스쿼드론 (제국)/흑색 비행대.webp
보바 펫,/resources/스쿼드론 카드/스쿼드론 (제국)/보바 펫.webp
보스크,/resources/스쿼드론 카드/스쿼드론 (제국)/보스크.webp
조너스 대위,/resources/스쿼드론 카드/스쿼드론 (제국)/조너스 대위.webp
사이에나 리,/resources/스쿼드론 카드/스쿼드론 (제국)/사이에나 리.webp
젠돈 대령,/resources/스쿼드론 카드/스쿼드론 (제국)/젠돈 대령.webp
다스 베이더 (TIE 어드밴스드),/resources/스쿼드론 카드/스쿼드론 (제국)/다스 베이더 (TIE 어드밴스드 스쿼드론).webp
다스 베이더 (TIE 디펜더),/resources/스쿼드론 카드/스쿼드론 (제국)/다스 베이더 (TIE 디펜더 스쿼드론).webp
덴가,/resources/스쿼드론 카드/스쿼드론 (제국)/덴가.webp
감마 비행대,/resources/스쿼드론 카드/스쿼드론 (제국)/감마 비행대.webp
갈 색슨,/resources/스쿼드론 카드/스쿼드론 (제국)/갈 색슨.webp
혼도 오나카,/resources/스쿼드론 카드/스쿼드론 (제국)/혼도 오나카.webp
″하울러너″,/resources/스쿼드론 카드/스쿼드론 (제국)/″하울러너″.webp
IG-88,/resources/스쿼드론 카드/스쿼드론 (제국)/IG-88.webp
IG-88B,/resources/스쿼드론 카드/스쿼드론 (제국)/IG-88B.webp
마렉 스틸,/resources/스쿼드론 카드/스쿼드론 (제국)/마렉 스틸.webp
라이머 소령,/resources/스쿼드론 카드/스쿼드론 (제국)/라이머 소령.webp
″모울러″ 미텔,/resources/스쿼드론 카드/스쿼드론 (제국)/″모울러″ 미텔.webp
모랄로 이발,/resources/스쿼드론 카드/스쿼드론 (제국)/모랄로 이발.webp
모나 키,/resources/스쿼드론 카드/스쿼드론 (제국)/모나 키.webp
세이버 비행대,/resources/스쿼드론 카드/스쿼드론 (제국)/세이버 비행대.webp
순티르 펠,/resources/스쿼드론 카드/스쿼드론 (제국)/순티르 펠.webp
텔 트레부라,/resources/스쿼드론 카드/스쿼드론 (제국)/텔 트레부라.webp
템페스트 비행대,/resources/스쿼드론 카드/스쿼드론 (제국)/템페스트 비행대.webp
발렌 루도,/resources/스쿼드론 카드/스쿼드론 (제국)/발렌 루도.webp
벌트 스케리스,/resources/스쿼드론 카드/스쿼드론 (제국)/벌트 스케리스.webp
″위스퍼″,/resources/스쿼드론 카드/스쿼드론 (제국)/″위스퍼″.webp
제르틱 스트롬,/resources/스쿼드론 카드/스쿼드론 (제국)/제르틱 스트롬.webp
,
Squadron (Rebel),스쿼드론 (반군)
A-wing Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/A윙 스쿼드론.webp
B-wing Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/B윙 스쿼드론.webp
E-wing Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/E윙 스쿼드론.webp
HWK-290,/resources/스쿼드론 카드/스쿼드론 (반군)/HWK-290.webp
Lancer Pursuit Craft,/resources/스쿼드론 카드/스쿼드론 (반군)/랜서 급 추격정.webp
Scurrg H-6 Bomber,/resources/스쿼드론 카드/스쿼드론 (반군)/스컬그 H-6 폭격기.webp
VCX-100 Freighter,/resources/스쿼드론 카드/스쿼드론 (반군)/VCX-100 화물선.webp
X-wing Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/X윙 스쿼드론.webp
Y-wing Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/Y윙 스쿼드론.webp
YT-1300,/resources/스쿼드론 카드/스쿼드론 (반군)/YT-1300.webp
YT-2400,/resources/스쿼드론 카드/스쿼드론 (반군)/YT-2400.webp
Z-95 Headhunter Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/Z-95 헤드헌터 스쿼드론.webp
A윙 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (반군)/A윙 스쿼드론.webp
B윙 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (반군)/B윙 스쿼드론.webp
E윙 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (반군)/E윙 스쿼드론.webp
HWK-290,/resources/스쿼드론 카드/스쿼드론 (반군)/HWK-290.webp
랜서 급 추격정,/resources/스쿼드론 카드/스쿼드론 (반군)/랜서 급 추격정.webp
스컬그 H-6 폭격기,/resources/스쿼드론 카드/스쿼드론 (반군)/스컬그 H-6 폭격기.webp
VCX-100 화물선,/resources/스쿼드론 카드/스쿼드론 (반군)/VCX-100 화물선.webp
X윙 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (반군)/X윙 스쿼드론.webp
Y윙 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (반군)/Y윙 스쿼드론.webp
YT-1300,/resources/스쿼드론 카드/스쿼드론 (반군)/YT-1300.webp
YT-2400,/resources/스쿼드론 카드/스쿼드론 (반군)/YT-2400.webp
Z-95 헤드헌터 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (반군)/Z-95 헤드헌터 스쿼드론.webp
,
Biggs Darklighter,/resources/스쿼드론 카드/스쿼드론 (반군)/빅스 다크라이터.webp
Corran Horn,/resources/스쿼드론 카드/스쿼드론 (반군)/코란 혼.webp
Dagger Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/대거 비행대.webp
Dash Rendar,/resources/스쿼드론 카드/스쿼드론 (반군)/대쉬 렌더.webp
Dutch Vander,/resources/스쿼드론 카드/스쿼드론 (반군)/″더치″ 반더.webp
Fenn Rau,/resources/스쿼드론 카드/스쿼드론 (반군)/펜 라우.webp
Gold Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/황금 비행대.webp
Green Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/녹색 비행대.webp
Han Solo,/resources/스쿼드론 카드/스쿼드론 (반군)/한 솔로.webp
Hera Syndulla (Ghost),/resources/스쿼드론 카드/스쿼드론 (반군)/헤라 신둘라 (고스트).webp
Hera Syndulla (X-wing),/resources/스쿼드론 카드/스쿼드론 (반군)/헤라 신둘라 (X윙 스쿼드론).webp
Jan Ors,/resources/스쿼드론 카드/스쿼드론 (반군)/잔 오스.webp
Kanan Jarrus,/resources/스쿼드론 카드/스쿼드론 (반군)/케이넌 제러스.webp
Ketsu Onyo,/resources/스쿼드론 카드/스쿼드론 (반군)/켓수 온요.webp
Keyan Farlander,/resources/스쿼드론 카드/스쿼드론 (반군)/키얀 팔랜더.webp
Lando Calrissian,/resources/스쿼드론 카드/스쿼드론 (반군)/란도 칼리시안.webp
Lieutenant Blount,/resources/스쿼드론 카드/스쿼드론 (반군)/블라운트 중위.webp
Luke Skywalker,/resources/스쿼드론 카드/스쿼드론 (반군)/루크 스카이워커.webp
Malee Hurra,/resources/스쿼드론 카드/스쿼드론 (반군)/말레 후라.webp
Mart Mattin,/resources/스쿼드론 카드/스쿼드론 (반군)/마트 마틴.webp
Norra Wexley,/resources/스쿼드론 카드/스쿼드론 (반군)/노라 웩슬리.webp
Nym,/resources/스쿼드론 카드/스쿼드론 (반군)/님.webp
Rogue Squadron,/resources/스쿼드론 카드/스쿼드론 (반군)/로그 비행대.webp
Shara Bey,/resources/스쿼드론 카드/스쿼드론 (반군)/샤라 베이.webp
Ten Numb,/resources/스쿼드론 카드/스쿼드론 (반군)/텐 넘브.webp
Tycho Celchu,/resources/스쿼드론 카드/스쿼드론 (반군)/타이쵸 첼추.webp
Wedge Antilles,/resources/스쿼드론 카드/스쿼드론 (반군)/웨지 안틸레스.webp
빅스 다크라이터,/resources/스쿼드론 카드/스쿼드론 (반군)/빅스 다크라이터.webp
코란 혼,/resources/스쿼드론 카드/스쿼드론 (반군)/코란 혼.webp
대거 비행대,/resources/스쿼드론 카드/스쿼드론 (반군)/대거 비행대.webp
대쉬 렌더,/resources/스쿼드론 카드/스쿼드론 (반군)/대쉬 렌더.webp
″더치″ 반더,/resources/스쿼드론 카드/스쿼드론 (반군)/″더치″ 반더.webp
펜 라우,/resources/스쿼드론 카드/스쿼드론 (반군)/펜 라우.webp
황금 비행대,/resources/스쿼드론 카드/스쿼드론 (반군)/황금 비행대.webp
녹색 비행대,/resources/스쿼드론 카드/스쿼드론 (반군)/녹색 비행대.webp
한 솔로,/resources/스쿼드론 카드/스쿼드론 (반군)/한 솔로.webp
헤라 신둘라 (고스트),/resources/스쿼드론 카드/스쿼드론 (반군)/헤라 신둘라 (고스트).webp
헤라 신둘라 (X윙),/resources/스쿼드론 카드/스쿼드론 (반군)/헤라 신둘라 (X윙 스쿼드론).webp
잔 오스,/resources/스쿼드론 카드/스쿼드론 (반군)/잔 오스.webp
케이넌 제러스,/resources/스쿼드론 카드/스쿼드론 (반군)/케이넌 제러스.webp
켓수 온요,/resources/스쿼드론 카드/스쿼드론 (반군)/켓수 온요.webp
키얀 팔랜더,/resources/스쿼드론 카드/스쿼드론 (반군)/키얀 팔랜더.webp
란도 칼리시안,/resources/스쿼드론 카드/스쿼드론 (반군)/란도 칼리시안.webp
블라운트 중위,/resources/스쿼드론 카드/스쿼드론 (반군)/블라운트 중위.webp
루크 스카이워커,/resources/스쿼드론 카드/스쿼드론 (반군)/루크 스카이워커.webp
말레 후라,/resources/스쿼드론 카드/스쿼드론 (반군)/말레 후라.webp
마트 마틴,/resources/스쿼드론 카드/스쿼드론 (반군)/마트 마틴.webp
노라 웩슬리,/resources/스쿼드론 카드/스쿼드론 (반군)/노라 웩슬리.webp
님,/resources/스쿼드론 카드/스쿼드론 (반군)/님.webp
로그 비행대,/resources/스쿼드론 카드/스쿼드론 (반군)/로그 비행대.webp
샤라 베이,/resources/스쿼드론 카드/스쿼드론 (반군)/샤라 베이.webp
텐 넘브,/resources/스쿼드론 카드/스쿼드론 (반군)/텐 넘브.webp
타이쵸 첼추,/resources/스쿼드론 카드/스쿼드론 (반군)/타이쵸 첼추.webp
웨지 안틸레스,/resources/스쿼드론 카드/스쿼드론 (반군)/웨지 안틸레스.webp
,
Squadron (Republic),스쿼드론 (공화국)
ARC-170 Starfighter Squadron,/resources/스쿼드론 카드/스쿼드론 (공화국)/ARC-170 은하전투기 스쿼드론.webp
BTL-B Y-wing Squadron,/resources/스쿼드론 카드/스쿼드론 (공화국)/BTL-B Y윙 스쿼드론.webp
Delta-7 Aethersprite Squadron,/resources/스쿼드론 카드/스쿼드론 (공화국)/델타-7 이텔스프라이트 스쿼드론.webp
V-19 Torrent Squadron,/resources/스쿼드론 카드/스쿼드론 (공화국)/V-19 토렌트 스쿼드론.webp
ARC-170 은하전투기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (공화국)/ARC-170 은하전투기 스쿼드론.webp
BTL-B Y윙 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (공화국)/BTL-B Y윙 스쿼드론.webp
델타-7 이텔스프라이트 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (공화국)/델타-7 이텔스프라이트 스쿼드론.webp
V-19 토렌트 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (공화국)/V-19 토렌트 스쿼드론.webp
,
Ahsoka Tano,/resources/스쿼드론 카드/스쿼드론 (공화국)/아소카 타노.webp
Anakin Skywalker (BTL-B),/resources/스쿼드론 카드/스쿼드론 (공화국)/아나킨 스카이워커 (BTL-B Y윙 스쿼드론).webp
Anakin Skywalker (Delta-7),/resources/스쿼드론 카드/스쿼드론 (공화국)/아나킨 스카이워커 (델타-7 이텔스프라이트 스쿼드론).webp
Axe,/resources/스쿼드론 카드/스쿼드론 (공화국)/″액스″.webp
Kickback,/resources/스쿼드론 카드/스쿼드론 (공화국)/″킥백″.webp
Kit Fisto,/resources/스쿼드론 카드/스쿼드론 (공화국)/킷 피스토.webp
Luminara Unduli,/resources/스쿼드론 카드/스쿼드론 (공화국)/루미나라 언둘리.webp
Matchstick,/resources/스쿼드론 카드/스쿼드론 (공화국)/″매치스틱″.webp
Odd Ball,/resources/스쿼드론 카드/스쿼드론 (공화국)/″오드 볼″.webp
Plo Koon,/resources/스쿼드론 카드/스쿼드론 (공화국)/플로 쿤.webp
아소카 타노,/resources/스쿼드론 카드/스쿼드론 (공화국)/아소카 타노.webp
아나킨 스카이워커 (BTL-B),/resources/스쿼드론 카드/스쿼드론 (공화국)/아나킨 스카이워커 (BTL-B Y윙 스쿼드론).webp
아나킨 스카이워커 (델타-7),/resources/스쿼드론 카드/스쿼드론 (공화국)/아나킨 스카이워커 (델타-7 이텔스프라이트 스쿼드론).webp
″액스″,/resources/스쿼드론 카드/스쿼드론 (공화국)/″액스″.webp
″킥백″,/resources/스쿼드론 카드/스쿼드론 (공화국)/″킥백″.webp
킷 피스토,/resources/스쿼드론 카드/스쿼드론 (공화국)/킷 피스토.webp
루미나라 언둘리,/resources/스쿼드론 카드/스쿼드론 (공화국)/루미나라 언둘리.webp
″매치스틱″,/resources/스쿼드론 카드/스쿼드론 (공화국)/″매치스틱″.webp
″오드 볼″,/resources/스쿼드론 카드/스쿼드론 (공화국)/″오드 볼″.webp
플로 쿤,/resources/스쿼드론 카드/스쿼드론 (공화국)/플로 쿤.webp
,
Squadron (Separatist),스쿼드론 (분리주의)
Belbullab-22 Starfighter Squadron,/resources/스쿼드론 카드/스쿼드론 (분리주의)/벨불라브-22 은하전투기 스쿼드론.webp
Droid Tri-fighter Squadron,/resources/스쿼드론 카드/스쿼드론 (분리주의)/드로이드 트라이 전투기 스쿼드론.webp
Hyena Droid Bomber Squadron,/resources/스쿼드론 카드/스쿼드론 (분리주의)/하이에나 급 드로이드 폭격기 스쿼드론.webp
Vulture Droid Fighter Squadron,/resources/스쿼드론 카드/스쿼드론 (분리주의)/벌처 급 드로이드 전투기 스쿼드론.webp
벨불라브-22 은하전투기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (분리주의)/벨불라브-22 은하전투기 스쿼드론.webp
드로이드 트라이 전투기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (분리주의)/드로이드 트라이 전투기 스쿼드론.webp
하이에나 급 드로이드 폭격기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (분리주의)/하이에나 급 드로이드 폭격기 스쿼드론.webp
벌처 급 드로이드 전투기 스쿼드론,/resources/스쿼드론 카드/스쿼드론 (분리주의)/벌처 급 드로이드 전투기 스쿼드론.webp
,
Baktoid Prototype,/resources/스쿼드론 카드/스쿼드론 (분리주의)/박토이드 시제기.webp
DBS-404,/resources/스쿼드론 카드/스쿼드론 (분리주의)/DBS-404.webp
DFS-311,/resources/스쿼드론 카드/스쿼드론 (분리주의)/DFS-311.webp
DIS-T81,/resources/스쿼드론 카드/스쿼드론 (분리주의)/DIS-T81.webp
General Grievous,/resources/스쿼드론 카드/스쿼드론 (분리주의)/그리버스 장군.webp
Haor Chall Prototypes,/resources/스쿼드론 카드/스쿼드론 (분리주의)/하오 찰 시제기.webp
Phlac-Arphocc Prototypes,/resources/스쿼드론 카드/스쿼드론 (분리주의)/플락-아포크 시제기.webp
Wat Tambor,/resources/스쿼드론 카드/스쿼드론 (분리주의)/왓 탐보.webp
Jango Fett,/resources/스쿼드론 카드/스쿼드론 (분리주의)/장고 펫.webp
박토이드 시제기,/resources/스쿼드론 카드/스쿼드론 (분리주의)/박토이드 시제기.webp
DBS-404,/resources/스쿼드론 카드/스쿼드론 (분리주의)/DBS-404.webp
DFS-311,/resources/스쿼드론 카드/스쿼드론 (분리주의)/DFS-311.webp
DIS-T81,/resources/스쿼드론 카드/스쿼드론 (분리주의)/DIS-T81.webp
그리버스 장군,/resources/스쿼드론 카드/스쿼드론 (분리주의)/그리버스 장군.webp
하오 찰 시제기,/resources/스쿼드론 카드/스쿼드론 (분리주의)/하오 찰 시제기.webp
플락-아포크 시제기,/resources/스쿼드론 카드/스쿼드론 (분리주의)/플락-아포크 시제기.webp
왓 탐보,/resources/스쿼드론 카드/스쿼드론 (분리주의)/왓 탐보.webp
장고 펫,/resources/스쿼드론 카드/스쿼드론 (분리주의)/장고 펫.webp
,
Legacy,레거시
G9 Rigger-class Freighter [Legacy],/resources/Legacy/Legacy Wave 0/G9 리거 급 화물선.webp
Anakin Skywalker (Twilight) [Legacy],/resources/Legacy/Legacy Wave 0/아나킨 스카이워커 (트와일라잇).webp
R2-D2 [Legacy],/resources/Legacy/Legacy Wave 0/R2-D2.webp
LAAT/i Gunship [Legacy],/resources/Legacy/Legacy Wave 0/LAAT_i 건쉽.webp
Five-Seven [Legacy],/resources/Legacy/Legacy Wave 0/″파이브 세븐″.webp
Star Courier [Legacy],/resources/Legacy/Legacy Wave 0/스타 커리어.webp
Darth Maul [Legacy],/resources/Legacy/Legacy Wave 0/다스 몰.webp
Count Dooku [Legacy],/resources/Legacy/Legacy Wave 0/두쿠 백작.webp
HMP Droid Gunship [Legacy],/resources/Legacy/Legacy Wave 0/HMP 드로이드 건쉽.webp
DGS-047 [Legacy],/resources/Legacy/Legacy Wave 0/DGS-047.webp
G9 리거 급 화물선 [Legacy],/resources/Legacy/Legacy Wave 0/G9 리거 급 화물선.webp
아나킨 스카이워커 (트와일라잇) [Legacy],/resources/Legacy/Legacy Wave 0/아나킨 스카이워커 (트와일라잇).webp
R2-D2 [Legacy],/resources/Legacy/Legacy Wave 0/R2-D2.webp
LAAT/i 건쉽 [Legacy],/resources/Legacy/Legacy Wave 0/LAAT_i 건쉽.webp
″파이브 세븐″ [Legacy],/resources/Legacy/Legacy Wave 0/″파이브 세븐″.webp
스타 커리어 [Legacy],/resources/Legacy/Legacy Wave 0/스타 커리어.webp
다스 몰 [Legacy],/resources/Legacy/Legacy Wave 0/다스 몰.webp
두쿠 백작 [Legacy],/resources/Legacy/Legacy Wave 0/두쿠 백작.webp
HMP 드로이드 건쉽 [Legacy],/resources/Legacy/Legacy Wave 0/HMP 드로이드 건쉽.webp
DGS-047 [Legacy],/resources/Legacy/Legacy Wave 0/DGS-047.webp
